comment_id,author,text,published_at
UgzVPPvFakIjFNiIHMB4AaABAg,@ahmedgamer2-303,i subscirbed when you are have 500k subscriber,2021-11-25T18:52:24Z
Ugz0RKgAS4ddby5HgHd4AaABAg,@amirrostamey6063,Baba..to deGah kee hastee????,2021-11-25T18:52:24Z
Ugw-cO5mYXEE5zRkC0l4AaABAg,@nooze2x353,I hit the sub button let's gooooooooi,2021-11-25T18:52:22Z
UgwG-J-EGn9A8W-j7SJ4AaABAg,@dangangalaxy9759,Pour one out for 067 boys 😔🙏,2021-11-25T18:52:22Z
UgwDGNKKtwi5FQJOthR4AaABAg,@BrandonCavittsChannel,40 MILLION VIEWS IN LESS THAN 24 HOURS…. This man is a legend 😭,2021-11-25T18:52:20Z
UgwPIfP2ikavxh5Q7Gh4AaABAg,@itzshawn1231,I’m so happy 079 won I wanted 456 to win also tho,2021-11-25T18:52:19Z
UgyqIFCvwxFM98m5DQN4AaABAg,@beyondeverything8036,Mr beast AKA front man where is your mask 😂,2021-11-25T18:52:18Z
UgxAw6K8jbAVAYvgdtt4AaABAg,@حسیندباغحمیدی,Perfect,2021-11-25T18:52:18Z
UgwzS-eMpv4tRDdu_a14AaABAg,@trainproductions-8889,Incredible work,2021-11-25T18:52:18Z
Ugwzh1TFfEVQnX_I0wV4AaABAg,@mearsy330,oh my fucking god he did it.,2021-11-25T18:52:18Z
UgxHX37r6ODZyJ86dLl4AaABAg,@hasib5227,"Best recreation ever!Amazed by the sets, so awesome!",2021-11-25T18:52:17Z
Ugwxh3gROxFTH_G4kJB4AaABAg,@crammedsoup6309,AWESOME!!!,2021-11-25T18:52:16Z
UgzXcrIw3XxdZN9u4id4AaABAg,@Flyoveriaa,Its Alber,2021-11-25T18:52:16Z
UgxRiisxHMiR7YmSkAV4AaABAg,@raxtak3234,Yayy,2021-11-25T18:52:14Z
UgwTw-k8TCMyLyfNkRF4AaABAg,@Himiko_Toga,Also happy thanks giving 😊,2021-11-25T18:52:12Z
Ugy-HKxNqT2zsEs-4TV4AaABAg,@batteryacidconsumer2058,Why didnt they die?,2021-11-25T18:52:12Z
Ugw6GhzdRkSj4YjisGh4AaABAg,@saintdarkreal,Lol,2021-11-25T18:52:11Z
UgxrpEfLIfbtXpLSg-x4AaABAg,@jassielgoytia6250,Super 🔥🔥,2021-11-25T18:52:08Z
UgwdopV3edop9zkLQKN4AaABAg,@frogwithamustache417,"""Promise to remember me"" -A true hero",2021-11-25T18:52:07Z
Ugx3-qn2-ZNeT48h8u14AaABAg,@ioannisanagnostopoulos2438,I have all legendary crawlers and chromatics,2021-11-25T18:52:07Z
UgxpWPCd5E3yAe9GKth4AaABAg,@vivi_wuu2419,"Ay mr beast, I’m brawl stars they gave us 456 free coins :D thanks





Oh, and by the way I already play brawl stats from 2 years so…


WHERE IS MY PRIZE",2021-11-25T18:52:07Z
Ugy5xsPeBy-hfdoDwvd4AaABAg,@محمدانور-ك8ج,Put Arabic subtitles on your channel,2021-11-25T18:52:06Z
UgzaZWa2r9SwxZmhN2t4AaABAg,@AngelGonzalezglz7877,U are amazing bro ! ❤️❤️❤️,2021-11-25T18:52:06Z
Ugx5WYPyyphS7qqeF1x4AaABAg,@khajamoinuddin9914,"is it real, is I am going to get that amount as i have subscribe",2021-11-25T18:52:05Z
UgxNWw-jeteJI2oqO5J4AaABAg,@Averagestudend,This is so cool,2021-11-25T18:52:04Z
UgzWLPJuicQJbUj6OPt4AaABAg,@ГенийМысли.1,"быстро в Россию переезжай, я тоже хочу 10к баксов на халяву",2021-11-25T18:52:03Z
UgxrNR3XV4ly0ORcSot4AaABAg,@kkeerthana2595,BROOO THISSSS ISSSS SOOO SICKKKK💥💥🔥🔥🔥🔥🔥🔥🔥🔥,2021-11-25T18:52:03Z
UgyWGuJo_YutJybSQnF4AaABAg,@TTwTT,It's sad that a lot of the selfish people in the glass bridge passed. Give the helpful people double maybe even triple the money.,2021-11-25T18:52:03Z
UgwQVMF-EKkzD680sdB4AaABAg,@everklk13,Amazing,2021-11-25T18:52:03Z
UgzaqMZoWigB6XWZxb54AaABAg,@محمدانور-ك8ج,Put Arabic subtitles on your channel,2021-11-25T18:52:01Z
UgwXwPX7IHUMCe5aZ2d4AaABAg,@PurpleHaz3_,This is dope as fuck 😭,2021-11-25T18:52:01Z
UgzWSjM0tg8KNvUdG9p4AaABAg,@Abol_Roise00,Gooooood,2021-11-25T18:52:01Z
UgyZ-Dbxpsfb5GKYbJR4AaABAg,@user-ur7lv8cm2e,😯😯😯😯😯😯oh my God,2021-11-25T18:52:00Z
UgxvaWJtHaKYTdRrkal4AaABAg,@حسیندباغحمیدی,Bro,2021-11-25T18:51:58Z
UgyK07p1x3M-uPFkTYt4AaABAg,@impossible2180,Please give away a Ferrari,2021-11-25T18:51:58Z
UgyNPl2uCbEqVzpg9ot4AaABAg,@golenship,LESS GO MRBEAST EDITION SQUID GAME,2021-11-25T18:51:57Z
UgzkOXLXMNpyD1Bk7Bh4AaABAg,@محمدانور-ك8ج,Put Arabic subtitles on your channel,2021-11-25T18:51:56Z
UgwQr4CGSe2C4miXTGJ4AaABAg,@rajveerbijlani2178,Bro you the best,2021-11-25T18:51:56Z
UgyCs2CV-MZSFp9ABIJ4AaABAg,@RosesforMarilyn,Subscribed!,2021-11-25T18:51:55Z
UgxqY_1G46cRf9qFqTl4AaABAg,@j4dzaomg281,Amazing !!,2021-11-25T18:51:54Z
UgwFIiDtEk6gZ7sOX3B4AaABAg,@MrEnyis,"Holy moly, this was intense.",2021-11-25T18:51:54Z
UgyKuMay2N2mvLpzyqR4AaABAg,@حسیندباغحمیدی,Cool,2021-11-25T18:51:52Z
UgxohVc-moosXMI5D4d4AaABAg,@cvoxr1937,You are a mad 😮,2021-11-25T18:51:51Z
Ugw3Bgr3Qw2DR6xeH7V4AaABAg,@alexsandrastankovski6760,Amazing!!!!!,2021-11-25T18:51:50Z
UgxwOrx8idGwcckkhPl4AaABAg,@Lucas-vz4ej,C A R A L H O U!,2021-11-25T18:51:47Z
Ugyvaozp1kPJ7K_82sB4AaABAg,@raquelfariagonzalez6283,Just subscribed 🧚🏽‍♀️,2021-11-25T18:51:47Z
Ugz8BsFCURBqNapoXep4AaABAg,@efrengarduno243,wow is this crazy,2021-11-25T18:51:46Z
UgxGQGfbKNAox19FU3N4AaABAg,@_manuel_pr,Q locura,2021-11-25T18:51:45Z
UgzgB1GZWn946a-hggR4AaABAg,@comphydes240,This was so sick great job mr beast!,2021-11-25T18:51:44Z
UgzakXaD3t8enIqWFs54AaABAg,@corneliugheorghilas3508,THANKS YOU MR BEATS FOR COIN IN BRAWL STARS 🙂😊,2021-11-25T18:51:42Z
UgyXgD9iMx1mivKPh0R4AaABAg,@МаксимЖитник-ь7й,Я хочу 10000$,2021-11-25T18:51:42Z
Ugz6K7ML9Fj8bBqweZl4AaABAg,@FirstnameLastname-wj7lg,The mad lad has done it again,2021-11-25T18:51:42Z
Ugwz80jObEl0M6IZyb94AaABAg,@hasanalsaeed7379,Subed,2021-11-25T18:51:41Z
UgzJbfubEyHSOTUotcR4AaABAg,@caminherhard6927,pretty cool 😎,2021-11-25T18:51:41Z
