comment_id,author,text,published_at
Ugx9RUrftuIiXv8JB0F4AaABAg,@NaturalistofEarth,Wow amazing vid. You got yourself a new sub:),2024-09-07T08:44:51Z
UgyxPAfb5U81i9pVzDh4AaABAg,@sonja2730,22:42 The English found that out in the 1940s,2024-09-03T18:27:33Z
UgzVKR4fSP0cjej4GQF4AaABAg,@GraceRice-ql9fx,Does anyone know if I can get those cards anywhere?,2024-08-31T19:06:43Z
UgyoGn0BcvfMHscoQ-d4AaABAg,@GraceRice-ql9fx,This is legitimately my childhood dream. I want to go this so bad,2024-08-31T18:59:55Z
UgzDTy_DrgfXHQMGAxp4AaABAg,@jd-dev,Fun fact: at 12:29 you actually don't have to change in Courtrai: the SNCF does not tell that this train actually go to Ghent and Antwerp,2024-08-31T12:33:55Z
UgyvEp5NJMGl02kOztx4AaABAg,@andytheodorko9874,why not Brussel?,2024-08-30T13:52:21Z
UgxpdXR2H1Nv11-6TPV4AaABAg,@OscarRC123,Is It just me that finds bens voice very anoying no hate but like,2024-08-26T15:53:59Z
UgwoJTsGv9VlIpRhczt4AaABAg,@dgealmteas,4:10 Me Playing Hide And Seek When I Was 7!,2024-08-23T07:54:22Z
UgyB8-EK8IdNoLInT5h4AaABAg,@laurayoung6330,"Man as much as i love rewatching these videos, the start will never stop bothering me- Jersey isnt in the UK boys 😂🇯🇪",2024-08-23T00:05:32Z
UgycK3scVyDAO7Ha-Cx4AaABAg,@nblucas,Jersey isnt in the UK!!!!,2024-08-22T12:17:46Z
UgyCD6YnxG9fRAsG26l4AaABAg,@SebRingbauer,"I, too have h=been chased by two other men.",2024-08-21T06:24:33Z
UgyC_EfUS7ga_ZcFRGp4AaABAg,@snowyyyyyyyyyyyyy,i feel like 14:45 is on of the only times that splitting the party would be smart,2024-08-19T19:53:19Z
UgyqDLTXuMo8irYezQN4AaABAg,@DirkSchut,"I haven't been hunted by men, for sport. Can I still comment?",2024-08-19T18:45:37Z
UgwpPPwZHtakceY70nd4AaABAg,@raymundnamoc2315,2:04,2024-08-19T06:04:22Z
